Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler
harris1_0_c_d.txt,1,17317,45.89,81.04,12.08,25.68,16.93,17.21,84.65,53.91,16.47,7.1,5.9,11.19,9.1,4.66,6.89,2.34,17.3,2.84,1.68,1.82,2.82,1.85,3.3,1.63,1.63,0.33,0.27,0.16,12.76,0.36,0.05,0.73,2.96,14.21,3.93,2.15,1.72,3.19,1.52,4.07,2.27,0.73,1.06,0.39,4.71,0.51,2.43,0.01,2.27,6.33,1.65,1.7,1.61,0.82,0.94,6.51,8.75,0.9,9.78,1.13,4.82,3.96,2.1,0.44,0.18,0.25,0.05,0.12,0.34,0.02,0.06,0.08,0.18,0.01
caprio1_0_c_p.txt,1,29047,53.13,81.85,7.72,31.89,12.05,15.02,75.22,49.24,15.4,7.05,6.19,9.79,9.17,4.14,5.22,1.91,15.97,2.66,1.33,1.95,14.59,1.47,3.66,2,1.64,0.28,0.43,0.25,11.69,0.17,0.19,0.18,1.68,10.69,2.48,1.83,1.29,1.89,1.4,3.09,2.22,0.68,1.24,0.26,2.87,0.35,1.92,0.02,0.97,5.92,1.61,1.13,2.06,0.9,0.71,3.84,10.51,1.16,8.53,1.32,4.17,3.18,2.39,0.36,0.05,0.65,0.08,0.35,0.51,0,0.04,0.2,0.18,0.02
collar1_0_c_p.txt,1,20382,52.38,85.21,4.19,24.91,12.32,16.03,76.9,49.84,16.56,6.78,5.67,10.4,9.34,3.82,4.54,1.92,16.98,2.17,1.37,1.85,12.86,1.44,3.62,1.78,1.83,0.26,0.48,0.17,12.78,0.16,0.02,2.07,0.68,11.97,3.09,2.29,1.72,1.77,1.49,3.05,1.67,0.67,0.8,0.16,3.91,0.43,2.58,0.01,1.55,5.62,1.5,1.07,1.53,0.85,1.13,5.04,9.51,0.8,8.03,1.3,3.87,2.94,2.35,0.31,0.04,0.61,0.06,0.25,0.47,0.03,0.08,0.19,0.15,0
perrotto1_0_c_p.txt,1,23701,43.79,87.32,15.92,34.8,13.38,16.97,86.06,55.91,17.92,8.51,6.55,11.32,9.7,4.98,6.7,1.71,18.25,2.71,1.65,2.24,2.35,2.15,3.94,2.22,1.7,0.14,0.3,0.45,12.77,0.19,0.08,0.31,1.53,13.18,3.73,2.24,1.54,2.37,1.62,3.42,2.37,0.81,1.17,0.32,3.58,0.58,2.13,0.02,1.22,6.04,2.12,1.06,1.76,0.91,0.7,4.51,11.51,0.97,9.81,1.55,4.85,3.53,2.12,0.27,0.1,0.64,0.06,0.37,0.65,0,0.08,0.3,0.22,0.01
purdo1_1_c_d.txt,1,18432,57.78,81.13,8.81,27.48,13.51,17.86,83.54,53.88,16.48,7.39,6.71,12.58,9.25,4.16,5.21,2.39,16.85,2.83,1.81,1.79,1.9,1.69,2.92,1.5,1.4,0.33,0.12,0.25,11.83,0.16,0.07,0.76,2.94,13.31,4.04,1.94,1.56,2.15,1.77,3.41,1.88,1.14,0.56,0.13,5.09,0.95,2.67,0.08,1.72,5.66,1.46,1.45,1.63,0.46,0.98,6.68,7.93,0.53,9.53,1.13,4.83,3.59,1.59,0.62,0.07,0.21,0.02,0.46,0.79,0,0.14,0.58,0.07,0
lewis1_0_c_d.txt,1,14974,33.38,83.06,6.28,30.99,12.71,13.98,86.8,58.33,19.39,8.87,4.84,12.29,9.96,6,5.84,2.91,19.15,2.06,1.36,1.7,2.45,2.07,2.64,1.46,1.16,0.21,0.19,0.04,14.17,0.52,0.06,4.05,1.42,13.4,3.64,1.77,1.57,2.19,2.18,3.61,2.57,0.93,1.37,0.26,3.78,0.44,1.92,0.04,2,5.38,1.5,1.36,1.57,0.61,0.61,7.19,9.62,0.9,10.03,1.74,4.49,4.05,1.91,0.33,0.13,0.49,0.01,0.13,0.66,0,0.02,0.42,0.2,0
williams1_0_c_d.txt,1,15732,40.24,83.81,13.49,22.33,15.87,17.95,86.51,56.89,17.83,8.14,6.1,11.81,9.48,4.69,7.82,2.5,18.24,2.37,1.4,2.05,2.22,1.71,2.79,1.26,1.49,0.24,0.19,0.12,13.69,0.3,0.11,0.85,3.64,13.97,4.5,2.03,1.67,2.92,1.24,3.86,2.49,0.85,1.11,0.45,3.93,0.56,1.82,0.13,1.89,5.63,1.37,1.2,1.63,0.72,1.06,6.74,9.8,1,9.69,1.47,4.53,3.71,1.82,0.53,0.14,0.4,0.01,0.17,0.26,0.01,0.03,0.14,0.08,0.01
koballa2_1_c_d.txt,1,11035,26.37,81.86,11.81,39.54,17,14.13,88.67,60.97,20.54,9.4,6.04,11.15,10.74,5.7,7.35,2.65,19.69,2.14,1.4,2.53,1.88,2.42,1.88,1.32,0.55,0.14,0.07,0.04,13.85,0.05,0.02,1.88,2.42,14.37,3.47,2.17,1.95,2.79,1.71,4.47,3.56,1.53,1.6,0.38,3.98,0.7,2.29,0,1.16,4.26,1.01,0.9,1.5,0.7,0.38,6.65,11.68,0.83,10.5,1.63,5.05,3.95,1.55,0.11,0.11,0.22,0,0.04,0.54,0,0.16,0.06,0.3,0.02
schlenther1_1_c_d.txt,1,18638,40.21,78.18,9.72,21.49,14.18,17.45,86.97,58.02,18.41,8.74,6.01,12.21,9.89,5.03,6.38,2.93,18.64,2.62,1.53,1.81,3.06,1.89,2.86,1.24,1.52,0.16,0.08,0.4,13.41,0.32,0.04,3.7,1.25,15.01,4.14,2.32,1.74,2.43,1.88,4.43,2.54,0.86,1.27,0.31,3.59,0.39,2.03,0.03,1.61,5.11,0.89,1.71,1.21,0.54,1.02,8.73,8.09,0.62,9.96,1.14,4.64,4.24,1.75,0.28,0.13,0.37,0.05,0.08,0.46,0.01,0.12,0.2,0.12,0
martin1_1_c_d.txt,1,13883,37.53,84.45,10.32,31.42,16.41,16.01,87.42,56.71,18.99,8.55,5.89,11.07,10.25,5.08,5.5,2.54,19.78,2.41,1.32,2.28,2.22,1.85,2.59,1.4,1.07,0.28,0.11,0.14,14.67,0.53,0.05,0.68,4.9,14.4,4.12,2.08,1.67,2.88,1.58,4.1,3.58,1.22,1.83,0.47,4.21,0.23,2.28,0,1.92,6.62,2.03,1.6,1.82,0.66,0.84,8.33,9.03,0.68,10.9,1.48,4.67,4.86,1.86,0.51,0.19,0.3,0.08,0.19,0.35,0,0.04,0.11,0.21,0
