Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
ahrens1_1_c_d.txt,1,27882,59.19,81.19,14.88,23.41,16.57,17.94,84.24,53.72,15.88,8.42,1.05,0.70,2.66,3.08,0.92,7.46,6.54,12.88,8.44,4.52,6.17,2.09,16.14,2.97,1.87,1.60,2.54,2.00,3.17,1.50,1.65,0.18,0.15,0.61,12.21,0.23,0.09,0.39,2.94,12.92,3.74,1.95,1.38,2.92,1.48,3.57,2.77,1.12,1.13,0.44,3.80,0.42,2.13,0.01,1.95,5.61,1.33,1.66,1.44,0.82,0.78,6.58,7.81,0.70,10.86,1.20,5.29,4.47,2.85,0.32,0.17,0.42,0.04,0.12,0.50,0.01,0.07,0.27,0.14,0.02,16.78,7.96,5.54,0.47,0.01,0.41,0.00,0.85,0.69,0.74,0.03,0.08
ahrens1_1_c_p.txt,1,34846,26.40,85.73,14.28,33.70,17.24,13.69,84.95,56.25,18.69,10.66,1.60,1.34,2.69,1.66,3.37,8.02,5.52,9.39,10.93,5.41,7.52,2.15,19.90,2.34,1.26,2.68,7.82,2.05,3.32,1.86,1.40,0.12,0.23,0.25,14.32,0.18,0.13,0.28,1.62,13.92,3.97,2.00,1.78,2.61,1.37,3.92,1.95,0.73,0.97,0.18,3.18,0.41,1.91,0.02,1.30,5.87,1.90,1.09,1.72,0.92,0.61,4.61,12.72,1.39,8.54,1.50,3.70,3.45,2.20,0.32,0.13,0.60,0.04,0.20,0.60,0.01,0.08,0.26,0.13,0.01,21.63,6.17,6.82,4.33,0.06,0.45,0.00,2.84,0.14,0.61,0.14,0.06
alexander1_1_c_d.txt,1,12510,66.23,81.12,5.29,28.03,16.29,17.55,75.64,48.77,13.79,7.55,0.60,0.74,2.34,2.93,0.95,6.24,6.58,11.34,7.99,3.77,5.37,2.09,15.14,2.33,1.33,1.73,13.06,1.41,2.59,1.33,1.19,0.07,0.22,0.20,11.63,0.30,0.14,0.28,3.03,10.94,2.49,1.59,1.48,2.06,1.63,3.19,2.51,1.09,1.23,0.17,3.26,0.30,2.17,0.02,1.29,5.71,1.53,1.49,1.73,0.86,0.52,6.51,6.91,0.58,9.42,1.09,4.90,3.57,3.24,0.43,0.19,0.62,0.03,0.05,0.58,0.00,0.27,0.15,0.16,0.00,14.82,7.15,4.83,0.11,0.09,0.53,0.00,1.10,0.13,0.72,0.03,0.13
alexander1_1_c_p.txt,1,15214,52.18,84.23,12.35,37.64,15.75,15.20,77.76,50.55,16.44,9.50,1.11,1.52,1.84,2.56,2.47,6.93,5.72,10.60,8.93,4.06,5.36,1.73,16.68,2.81,1.47,1.91,13.61,1.74,3.57,2.10,1.43,0.17,0.22,0.17,12.46,0.28,0.08,0.51,2.49,11.50,3.58,1.65,1.32,1.90,1.47,2.95,2.18,0.78,1.09,0.22,2.85,0.21,1.77,0.00,1.28,5.67,1.99,1.04,1.68,0.66,0.62,5.84,8.93,0.97,10.29,1.63,4.34,4.48,2.33,0.29,0.23,0.66,0.03,0.15,0.82,0.00,0.23,0.27,0.32,0.01,17.79,6.63,5.58,0.37,0.09,0.66,0.00,2.32,1.35,0.67,0.07,0.05
alexander2_1_c_d.txt,1,11287,45.50,83.36,11.98,33.09,14.06,19.33,86.70,55.82,16.44,9.67,1.62,1.05,2.49,3.87,0.64,6.78,6.04,12.16,10.12,5.63,6.46,2.07,18.44,2.84,1.70,1.71,1.83,2.37,3.34,1.88,1.45,0.50,0.19,0.12,13.34,0.33,0.22,1.07,3.22,15.19,4.38,2.00,2.06,3.31,1.89,3.50,2.14,0.66,1.27,0.12,3.35,0.26,2.00,0.00,1.79,6.25,1.63,1.61,1.58,0.76,1.07,5.99,9.35,1.42,10.38,1.27,4.78,4.53,2.47,0.43,0.10,0.54,0.01,0.12,0.54,0.00,0.06,0.30,0.17,0.01,18.62,7.59,6.77,0.52,0.17,0.83,0.00,1.30,0.12,1.09,0.12,0.11
alexander2_1_c_p.txt,1,7882,37.46,82.94,12.41,53.94,14.87,16.91,89.70,58.13,18.99,10.07,1.48,1.24,2.75,3.06,1.54,8.92,7.08,10.83,10.68,4.78,6.81,2.07,19.14,2.74,1.66,2.26,1.94,2.19,4.24,2.85,1.36,0.06,0.23,0.16,12.85,0.11,0.24,0.89,2.58,14.15,3.89,2.78,1.50,2.39,1.75,3.78,1.89,0.47,1.19,0.15,4.17,0.52,2.80,0.00,1.31,6.22,1.70,1.07,2.26,0.95,0.76,4.38,13.08,1.01,9.46,1.79,4.43,3.34,2.63,0.32,0.13,0.24,0.03,0.32,1.15,0.00,0.01,0.93,0.18,0.01,17.10,7.09,6.71,0.51,0.03,0.30,0.00,1.71,0.00,0.66,0.09,0.00
allen2_1_c_d.txt,1,8718,41.59,80.00,21.50,21.71,14.29,15.16,85.65,57.09,17.89,10.31,1.69,1.70,2.08,3.17,1.69,7.56,5.30,13.11,9.76,5.71,6.45,2.52,16.98,2.47,1.81,1.88,3.03,2.27,2.06,0.88,1.15,0.36,0.11,0.07,12.57,0.18,0.14,2.39,0.97,12.32,3.38,1.58,1.20,2.49,1.77,3.72,2.02,1.02,0.79,0.18,3.95,0.06,1.86,0.00,3.09,5.95,2.14,0.81,1.62,0.76,0.88,5.72,9.39,1.08,11.85,1.87,5.40,4.74,1.80,0.33,0.15,0.39,0.01,0.15,0.33,0.00,0.15,0.11,0.07,0.00,18.64,8.24,4.77,0.28,0.16,0.41,0.00,2.19,1.04,1.41,0.03,0.10
allen2_1_c_p.txt,1,11918,46.78,77.62,34.04,29.42,14.39,15.88,87.22,58.18,17.59,9.14,1.38,1.57,2.33,1.38,2.48,8.45,7.00,12.50,9.65,4.95,7.07,2.32,17.32,3.08,1.62,1.90,1.85,1.97,3.05,1.62,1.40,0.20,0.39,0.21,11.69,0.07,0.04,1.33,0.25,13.21,3.21,2.82,1.27,2.22,1.30,4.29,2.22,0.81,1.18,0.18,2.70,0.25,1.52,0.01,1.33,7.19,1.99,1.17,2.58,1.01,0.92,4.64,10.56,1.12,12.31,1.80,6.40,4.29,2.13,0.24,0.10,0.39,0.04,0.29,0.68,0.02,0.21,0.29,0.17,0.00,18.41,7.37,5.76,0.80,0.13,0.52,0.05,2.72,0.20,0.72,0.03,0.12
allen3_1_c_d.txt,1,18272,35.98,82.70,4.98,15.20,14.24,15.66,88.12,57.34,18.56,10.55,0.82,1.09,1.63,5.88,1.12,8.01,6.20,10.71,9.87,4.71,6.74,2.99,18.63,3.01,1.64,1.82,2.90,1.93,3.54,1.37,2.12,0.36,0.39,0.18,14.90,0.59,0.09,5.23,1.28,14.22,3.75,2.26,1.63,2.58,1.40,4.39,2.76,0.73,1.47,0.52,4.09,0.33,2.33,0.00,1.96,7.26,1.83,1.84,1.81,0.88,1.20,7.30,9.24,0.72,9.66,1.11,4.23,4.50,2.12,0.22,0.20,0.35,0.01,0.39,0.55,0.00,0.04,0.23,0.26,0.00,17.28,8.10,5.41,0.24,0.11,0.44,0.00,1.42,0.32,1.00,0.03,0.22
allen3_1_c_p.txt,1,16489,34.06,79.66,27.83,26.27,13.43,14.06,90.59,61.03,19.09,10.14,1.69,1.25,2.33,2.19,2.68,8.94,6.55,12.11,11.09,4.99,7.58,2.60,20.17,3.44,2.01,2.04,2.12,2.08,3.34,1.67,1.64,0.21,0.32,0.32,13.72,0.44,0.07,2.15,0.39,14.10,3.04,2.27,1.79,2.52,1.83,4.71,2.75,0.83,1.41,0.42,2.84,0.24,1.89,0.00,1.03,7.02,2.04,1.16,2.26,1.18,0.82,5.60,12.17,1.13,12.02,2.21,6.06,3.89,1.72,0.31,0.31,0.31,0.06,0.29,0.62,0.02,0.07,0.36,0.15,0.01,18.53,6.90,7.02,0.25,0.15,0.94,0.00,1.95,0.20,0.98,0.00,0.15
